NamaToko,Alamat,Distrik,WS,Telepon,Latitude,Longitude
Pak Sigit,Pasar Imogiri,BTL,001,817272283,-7.916495,110.381736
Bpk Jito,Pasar Angkruksari Bantul,BTL,002,81902839550,-7.972287,110.317889
Ermi,Pasar Dlingo Lama,BTL,003,,-7.93693,110.46371
Grosir 26,Potorono Banguntapan,BTL,004,,-7.845728,110.407917
H. Anwar,Bantul,BTL,005,,-7.9278638,110.2762518
Gemak Mas,"Prangtritir, Sewon",BTL,006,89618222424,-7.848232,110.359627
Gemah Ripah,Imogiri Timur,BTL,007,87838937337,-7.852053,110.390133
Jitu,"Jl. Parangtritis, Bantul",BTL,008,8122742312,-7.938076,110.338244
Kusdiyah,Dlingo,BTL,009,85238039138,-7.901463,110.469732
Lestari,"Gunturan, Bantul",BTL,010,87739403321,-7.9277484,110.2765886
Margo Asih,"Srandakan, Bantul",BTL,011,87738556365,-7.9729433,110.3183117
Mbak Erma,"Srigading, Sanden",BTL,012,82223702052,-7.992447,110.276319
Mekar,"Jl. Angkruk Sari, Bantul",BTL,013,81228097978,-7.973198,110.318168
Toko BP Grosir,"Jln Wonosari KM 7,5",BTL,014,81903763457,-7.818515,110.416771
Robin,"Bangunjiwo, Kasihan",BTL,015,,-7.83737,110.312128
Sehati,Pasar Pundong,BTL,016,8170410253,-7.95626,110.346849
Semar,Parangtritis Bantul,BTL,017,,-8.010473,110.319413
Slamet,Pasar Barongan,BTL,018,,-7.912887,110.372779
Sogiyem,Pasar Imogiri,BTL,019,87838128573,-7.916351,110.381656
Sri Lestari,Pasar Ngangkruk,BTL,020,82334626868,-7.972827,110.317824
Wartinah,"Dlingo, Bantul",BTL,021,81320790128,-7.900867,110.469757
Suprihatin,Pasar Imogiri,BTL,022,,-7.916809,110.381819
Sutinah,"Temuwuh, Dlingo",BTL,023,82133636843,-7.918622,110.468841
Syamsudin,Jl Bantul KM 9,BTL,024,,-7.869946,110.33743
Tekun Mulya,Pasar Bantul,BTL,025,85811104446,-7.9278624,110.2762379
Tresno Agung,"Pleret, Bantul",BTL,026,87839223222,-7.866172,110.405927
Toko Pojok,Imogiri Timur,BTL,027,,-7.923696,110.383683
Toko Rizky,"Manggung, Wukirsari, Imogiri",BTL,028,,-7.907994,110.38518
Kuncoro,"Panggungharjo, Sewon, Bantul",BTL,029,82313111214,-7.846678,110.352903
Warjilah,"Wonolelo, Pleret",BTL,030,,-7.882763,110.432606
Bu Siti,Wonolelo (depan SDN Wonolelo),BTL,031,,-7.882933,110.431219
Martha Cell,Parangtritis Bantul,BTL,032,817461792,-8.019382,110.32676
Mbah Soplek,"Srigading, Sanden",BTL,033,8.82007E+11,-7.974953,110.286606
Grosir Sigaret,Bantul,BTL,034,85724310511,-7.8886912,110.3278087
Alifia,"Jl. Imogiri Siluk, Ngatsuro, Sriharjo, Kec. Imogiri, Kabupaten Bantul",BTL,035,89606737673,-7.942329,110.374406
Grosir wahyu,"Jl. Manding Imogiri, Beji, Sumberagung, Kec. Jetis, Kabupaten Bantul",BTL,036,81246749419,-7.896793,110.368344
CV Diponegoro,J; Panjangan Wirejo Pandak Bantul,BTL,037,+62 858-7616-6231,-7.896654,110.298338
Toko Cipto,Wirejo Pandak Bantul,BTL,038,+62 857-4334-9090,-7.901385,110.294408
Puspa Ana,Pasar Talok,KOT,001,85725924979,-7.789782,110.3908187
Grosir 69,"Jl. PGRI II Gg. Puntodewo, Sonopakis Lor, Ngestiharjo, Kec. Kasihan",KOT,002,87831008900,-7.80554,110.336033
Enggal Jaya,Jl KH Wahid Hasim,KOT,003,81329802615,-7.8019173,110.3564159
Eka Manunggal,Jl. Menteri Supeno 15a,KOT,004,87739379277,-7.815847,110.377052
Kusuma Jaya,Jl Kusuma Negara,KOT,005,85641909883,-7.8019521,110.3846055
Maju Jaya,Wirobrajan,KOT,006,,-7.805772,110.350766
