id_toko,Aktivasi
1,004
2,001
3,002
4,003
5,001
6,001
7,001
8,001
9,002
10,001
11,004
12,006
13,001
14,004
15,003
16,001
17,001
18,001
19,001
20,003
21,001
22,001
23,002
24,002
25,001
26,002
27,001
28,001
29,001
30,001
31,001
32,004
33,001
34,001
35,001
36,001
37,001
38,001
39,002
40,001
41,001
42,001
43,001
44,001
45,001
46,001
47,001
48,001
49,001
50,001
51,001
52,001
53,001
54,001
55,001
56,001
57,001
58,003
59,001
60,001
61,005
62,002
63,001
64,001
65,001
66,001
67,001
68,001
69,001
70,001
71,001
72,001
73,001
74,001
75,001
76,001
77,001
78,001
79,001
80,001
81,001
82,001
83,001
84,001
85,001
86,001
87,001
88,001
89,001
90,001
91,001
92,001
93,001
94,001
95,001
96,001
97,001
98,001
99,001
100,
101,
102,
103,
